gene_symbol	tumor_mean
ANXA8L1	-0.7896200490766248
ANXA9	0.03124769867703847
AOAH	-0.032863058239048115
AOC1	0.19463640748067057
AOC3	0.061870017786215925
AOX1	0.1834170638504915
AP1AR	-0.030226011925741147
AP1B1	0.08682016574836027
AP1G1	-0.0677071371509328
AP1G2	-0.011459282243873048
AP1M1	0.03528311551681895
AP1M2	-0.14772844399010765
AP1S1	-0.12901130565452945
AP1S2	0.0009779816864909918
AP1S3	-0.22759383228436292
AP2A1	0.13286153841293213
AP2A2	0.20436647931005147
AP2B1	0.1994165600363509
AP2M1	0.10040247127028223
AP2S1	0.12031222111941275
AP3B1	0.10213689217494348
AP3B2	-0.8435510960995902
AP3D1	0.036872886129796
AP3M1	0.10286076298464408
AP3M2	0.005380685941588581
AP3S1	0.02960581893194103
AP3S2	0.006473850055400021
AP4B1	0.057399973557359374
AP4E1	0.05704915707000069
AP4M1	0.049197290799334326
AP4S1	0.11673523871459324
AP5B1	0.01399823115241361
AP5M1	0.1541957395896425
AP5S1	0.0871337650064703
AP5Z1	0.0980785236906776
APAF1	0.060266152387427496
APBA1	0.08019153606305451
APBA2	-0.14862148499326366
APBA3	0.03800448198056472
APBB1	0.12368875750349417
APBB1IP	0.05907495899352
APBB2	0.14969250784827892
APC	0.08057351295935078
APCS	-0.39769589662599003
APEH	0.11249305730817838
APEX1	0.07042676626586086
APEX2	-0.017214200382335676
APH1A	-0.12117693375445526
API5	0.01599330392611087
APIP	0.03138878192481798
APLF	-0.03118319068538611
APLP1	0.15025740794326836
APLP2	-0.3343023427873497
APMAP	0.08737843373702958
APOA1	0.1897937566006327
APOA2	0.17614260393699865
APOA4	0.28456177822189943
APOA5	0.4744007502183063
APOB	0.07173182790300459
APOBEC2	-0.017043422375497386
APOBEC3A	-0.44458771080814685
APOBEC3B	-0.19693162002688602
APOBEC3C	-0.1946289902931042
APOBEC3F	-0.2455244872483533
APOBEC3G	-0.2531278886376427
APOBR	0.06194357732545441
APOC1	0.2383938657347997
APOC3	0.27056375448436043
APOC4	0.10239153858771388
APOD	-1.7304594083465226
APOE	0.024224922845970553
APOF	0.08267220668060205
APOH	0.35288159572805
APOL1	0.060678576442334986
APOL2	-0.23799016537896556
APOL3	-0.23369735549788473
APOL6	-0.4240492024590772
APOM	-0.06933836932408965
APOO	0.06555476005872407
APOOL	0.2152368185264848
APP	-0.30171951982477907
APPBP2	0.03410481054943896
APPL1	0.1003468260719238
APPL2	0.16915343804775418
APRT	0.026677467865422244
APTX	-0.09286399261718437
AQP3	-0.24368186733460462
AQP5	-0.7125488528921728
AQR	0.03591468332895431
AR	0.13138720585044794
ARAF	0.11356667313787838
ARAP1	0.19051229753380738
ARAP2	0.01785216101063014
ARAP3	0.06904790584561837
ARCN1	0.11201905203113682
AREG	-0.26671942652212266
ARF1	0.030591405107166736
ARF3	-0.520465673540409
ARF4	0.006959442919555414
ARF5	-0.019829140730500683
ARF6	0.06276693517371257
ARFGAP1	0.07454619453742595
ARFGAP2	0.15420964652280134
ARFGAP3	-0.07963871173620873
ARFGEF1	-0.08927749058347345
ARFGEF2	-0.05756508164252239
ARFGEF3	-0.06329469316485259
ARFIP1	0.097703823152969
ARFIP2	0.12548836053971613
ARFRP1	0.07528052121053364
ARG1	-0.287906798789205
ARG2	-0.13292126711993646
ARGLU1	-0.024815202070922027
ARHGAP1	0.20759511544733655
ARHGAP10	0.09289036225080594
ARHGAP11A	-0.02725896547294404
ARHGAP12	0.1412185369590251
ARHGAP15	-0.09700036979018378
ARHGAP17	0.10046182279037907
ARHGAP18	0.006703006519693133
ARHGAP21	0.005529975814193122
ARHGAP22	0.08804510064114623
ARHGAP23	-0.04480222072084317
ARHGAP24	0.20806457620161822
ARHGAP25	-0.14380530838344008
ARHGAP26	0.06311839190571789
ARHGAP27	-0.07114656358255012
ARHGAP28	0.13567216523110837
ARHGAP29	-0.1600781904507329
ARHGAP30	-0.1774545499871074
ARHGAP31	0.09433319231001036
ARHGAP32	-0.01522800812436742
ARHGAP35	0.0034747348175230286
ARHGAP36	-0.38910500076711685
ARHGAP39	0.04210443458097579
ARHGAP4	-0.057124791034379285
ARHGAP40	-0.2832866370925906
ARHGAP42	0.14160550643764758
ARHGAP44	0.002055336358273152
ARHGAP45	-0.12210572037145084
ARHGAP5	0.11248915488808109
ARHGAP6	0.19506897240386678
ARHGAP9	-0.03503822203028406
ARHGDIA	0.12192645518329215
ARHGDIB	0.09910063965103433
ARHGEF1	-0.10671813045609468
ARHGEF10	0.20814438421719217
ARHGEF10L	-0.11243302181223847
ARHGEF11	0.11175031438096639
ARHGEF12	0.12583949299509456
ARHGEF15	0.1145814539404526
ARHGEF16	-0.12001670970241562
ARHGEF17	0.19218651568492362
ARHGEF18	-0.060117267475815694
ARHGEF19	0.0311852967340549
ARHGEF2	-0.14595996808545308
ARHGEF25	0.4993945548483012
ARHGEF26	-0.1391288170947398
ARHGEF28	-0.010581214985906584
ARHGEF3	0.024490234298042424
ARHGEF35	0.12484203895109047
ARHGEF37	0.13286389471695514
ARHGEF38	-0.0386893975886089
ARHGEF39	-0.32446332928179444
ARHGEF40	0.09843557678636827
ARHGEF5	-0.016292930382821424
ARHGEF6	0.0015502869342611802
ARHGEF7	0.1121177261511086
ARID1A	-0.03985926318614119
ARID1B	0.06656757385989209
ARID2	0.023685249445605905
ARID3A	-0.1478753178978316
ARID3B	-0.00569507000829006
