operator,perm_index,perm_auc
proteomics,66,0.5230158730158732
proteomics,67,0.4976190476190476
proteomics,68,0.22777777777777777
proteomics,69,0.5857142857142857
proteomics,70,0.2928571428571428
proteomics,71,0.4920634920634921
proteomics,72,0.45396825396825397
proteomics,73,0.3753968253968254
proteomics,74,0.5896825396825396
proteomics,75,0.6761904761904762
proteomics,76,0.4
proteomics,77,0.14523809523809525
proteomics,78,0.5150793650793651
proteomics,79,0.5722222222222222
proteomics,80,0.3928571428571429
proteomics,81,0.7563492063492063
proteomics,82,0.3357142857142857
proteomics,83,0.569047619047619
proteomics,84,0.6357142857142858
proteomics,85,0.4666666666666667
proteomics,86,0.5293650793650794
proteomics,87,0.6063492063492064
proteomics,88,0.4722222222222222
proteomics,89,0.7230158730158731
proteomics,90,0.7396825396825398
proteomics,91,0.676984126984127
proteomics,92,0.6396825396825397
proteomics,93,0.39920634920634923
proteomics,94,0.573015873015873
proteomics,95,0.39920634920634923
proteomics,96,0.47777777777777775
proteomics,97,0.7476190476190476
proteomics,98,0.5277777777777778
proteomics,99,0.4801587301587301
proteomics,100,0.5293650793650794
proteomics,101,0.5325396825396826
proteomics,102,0.45476190476190476
proteomics,103,0.4111111111111111
proteomics,104,0.36269841269841274
proteomics,105,0.7690476190476192
proteomics,106,0.47063492063492063
proteomics,107,0.5563492063492064
proteomics,108,0.35793650793650794
proteomics,109,0.6309523809523808
proteomics,110,0.6880952380952381
proteomics,111,0.7634920634920636
proteomics,112,0.4896825396825397
proteomics,113,0.5452380952380952
proteomics,114,0.5936507936507937
proteomics,115,0.5420634920634921
proteomics,116,0.2785714285714286
proteomics,117,0.5865079365079364
proteomics,118,0.7253968253968253
proteomics,119,0.4103174603174603
proteomics,120,0.4920634920634921
proteomics,121,0.43015873015873013
proteomics,122,0.4309523809523809
proteomics,123,0.6373015873015873
proteomics,124,0.3952380952380953
proteomics,125,0.39126984126984127
proteomics,126,0.6515873015873016
proteomics,127,0.4515873015873016
proteomics,128,0.5714285714285714
proteomics,129,0.6849206349206349
proteomics,130,0.5452380952380953
proteomics,131,0.42142857142857143
proteomics,132,0.11111111111111112
proteomics,133,0.6150793650793652
proteomics,134,0.4134920634920635
proteomics,135,0.5769841269841269
proteomics,136,0.6563492063492063
proteomics,137,0.7833333333333333
proteomics,138,0.42936507936507934
proteomics,139,0.1761904761904762
proteomics,140,0.5857142857142857
proteomics,141,0.5301587301587303
proteomics,142,0.5126984126984127
proteomics,143,0.5055555555555555
proteomics,144,0.4825396825396826
proteomics,145,0.611111111111111
proteomics,146,0.5928571428571429
proteomics,147,0.3880952380952381
proteomics,148,0.7293650793650794
proteomics,149,0.4896825396825397
proteomics,150,0.4246031746031747
proteomics,151,0.6666666666666667
proteomics,152,0.5952380952380952
proteomics,153,0.41507936507936505
proteomics,154,0.39365079365079364
proteomics,155,0.5690476190476191
proteomics,156,0.5920634920634921
proteomics,157,0.44682539682539685
proteomics,158,0.36111111111111105
proteomics,159,0.5857142857142857
proteomics,160,0.24603174603174605
proteomics,161,0.4349206349206349
proteomics,162,0.469047619047619
proteomics,163,0.5523809523809524
proteomics,164,0.3206349206349206
proteomics,165,0.5666666666666667
proteomics,166,0.7087301587301587
proteomics,167,0.5015873015873016
proteomics,168,0.6222222222222222
proteomics,169,0.6261904761904763
proteomics,170,0.3936507936507937
proteomics,171,0.5333333333333333
proteomics,172,0.5142857142857142
proteomics,173,0.6031746031746031
proteomics,174,0.5246031746031746
proteomics,175,0.4642857142857143
proteomics,176,0.3238095238095238
proteomics,177,0.5103174603174604
proteomics,178,0.6730158730158731
proteomics,179,0.6626984126984127
proteomics,180,0.4920634920634921
proteomics,181,0.5301587301587302
proteomics,182,0.25793650793650796
proteomics,183,0.7896825396825398
proteomics,184,0.6373015873015873
proteomics,185,0.5071428571428571
proteomics,186,0.4904761904761905
proteomics,187,0.38015873015873014
proteomics,188,0.37142857142857144
proteomics,189,0.7253968253968254
proteomics,190,0.7714285714285714
proteomics,191,0.507936507936508
proteomics,192,0.4166666666666667
proteomics,193,0.5015873015873016
proteomics,194,0.4825396825396825
proteomics,195,0.4992063492063492
proteomics,196,0.5682539682539682
proteomics,197,0.7087301587301587
proteomics,198,0.46507936507936504
proteomics,199,0.40634920634920635
proteomics,200,0.638888888888889
proteomics,201,0.6214285714285714
proteomics,202,0.4976190476190476
proteomics,203,0.6182539682539683
proteomics,204,0.3388888888888889
proteomics,205,0.6095238095238096
proteomics,206,0.4714285714285714
proteomics,207,0.19841269841269843
proteomics,208,0.37777777777777777
proteomics,209,0.22777777777777777
proteomics,210,0.8293650793650793
proteomics,211,0.5682539682539682
proteomics,212,0.6214285714285716
proteomics,213,0.5936507936507938
proteomics,214,0.5214285714285714
proteomics,215,0.7619047619047619
proteomics,216,0.6111111111111112
proteomics,217,0.23174603174603176
proteomics,218,0.3968253968253968
proteomics,219,0.4674603174603174
proteomics,220,0.11111111111111112
proteomics,221,0.6047619047619048
proteomics,222,0.4182539682539682
proteomics,223,0.6126984126984129
proteomics,224,0.7452380952380951
proteomics,225,0.40634920634920635
proteomics,226,0.2873015873015873
proteomics,227,0.7357142857142855
proteomics,228,0.4920634920634921
proteomics,229,0.6587301587301587
proteomics,230,0.5309523809523811
proteomics,231,0.37936507936507935
proteomics,232,0.35238095238095235
proteomics,233,0.5920634920634921
proteomics,234,0.44841269841269843
proteomics,235,0.5261904761904762
proteomics,236,0.6063492063492064
proteomics,237,0.35079365079365077
