step,added_metabolite_id,subsystem,distortion_after,record_type,panel_size,strategy,trial,distortion
84.0,MAM02262l,Keratan sulfate degradation,1.6463170852638596,greedy_trace,,,,
85.0,MAM02265l,Keratan sulfate degradation,1.6410069079667702,greedy_trace,,,,
86.0,MAM02268l,Keratan sulfate degradation,1.6372398142081699,greedy_trace,,,,
87.0,MAM01358c,Protein assembly;Transport reactions,1.6339458179805089,greedy_trace,,,,
88.0,MAM03326x,Fatty acid oxidation,1.6336000452248547,greedy_trace,,,,
89.0,MAM00078x,Beta oxidation of phytanic acid (peroxisomal);Fatty acid oxidation,1.6332664299799924,greedy_trace,,,,
90.0,MAM00042x,Beta oxidation of even-chain fatty acids (peroxisomal);Beta oxidation of unsaturated fatty acids (n-9) (peroxisomal);Fatty acid oxidation,1.632938117363545,greedy_trace,,,,
91.0,MAM00317r,Carnitine shuttle (endoplasmic reticular);Fatty acid oxidation;Formation and hydrolysis of cholesterol esters,1.632610409855183,greedy_trace,,,,
92.0,MAM00018r,Carnitine shuttle (endoplasmic reticular);Fatty acid activation (endoplasmic reticular);Formation and hydrolysis of cholesterol esters,1.6322851005979495,greedy_trace,,,,
93.0,MAM00093r,Carnitine shuttle (endoplasmic reticular);Fatty acid activation (endoplasmic reticular);Formation and hydrolysis of cholesterol esters,1.6319611284396114,greedy_trace,,,,
94.0,MAM00134r,Carnitine shuttle (endoplasmic reticular);Fatty acid activation (endoplasmic reticular);Formation and hydrolysis of cholesterol esters,1.6316390893594988,greedy_trace,,,,
95.0,MAM02112r,Carnitine shuttle (endoplasmic reticular);Fatty acid activation (endoplasmic reticular);Formation and hydrolysis of cholesterol esters,1.6313181371453276,greedy_trace,,,,
96.0,MAM00113r,Carnitine shuttle (endoplasmic reticular);Fatty acid activation (endoplasmic reticular);Formation and hydrolysis of cholesterol esters,1.6309981505256423,greedy_trace,,,,
97.0,MAM02971r,Carnitine shuttle (endoplasmic reticular);Fatty acid activation (endoplasmic reticular);Formation and hydrolysis of cholesterol esters,1.6306790960582505,greedy_trace,,,,
