metabolite_id,subsystem,leverage_topology,leverage_proteomics,delta_leverage,abs_delta_leverage
MAM01239c,Arachidonic acid metabolism;Artificial reactions,1.2035667014852742e-05,1.2587515074257786e-05,5.518480594050447e-07,5.518480594050447e-07
MAM00414c,Arachidonic acid metabolism;Artificial reactions,1.2035669426608946e-05,1.258751678188258e-05,5.518473552736335e-07,5.518473552736335e-07
MAM00109c,Carnitine shuttle (endoplasmic reticular);Fatty acid oxidation,3.303196720074936e-06,2.7515086659294567e-06,-5.516880541454794e-07,5.516880541454794e-07
MAM00809r,Cholesterol metabolism,1.0599580224999799e-05,1.0048256414696829e-05,-5.5132381030297e-07,5.5132381030297e-07
MAM03723c,Peptide metabolism;Transport reactions,1.295895103912622e-05,1.3509820236338801e-05,5.508691972125808e-07,5.508691972125808e-07
MAM01874c,Glycosphingolipid biosynthesis-lacto and neolacto series;Transport reactions,2.7334015340117537e-06,2.1826599642566958e-06,-5.507415697550579e-07,5.507415697550579e-07
MAM02142m,Propanoate metabolism;Transport reactions,5.312915367309032e-06,4.7634550990841765e-06,-5.494602682248558e-07,5.494602682248558e-07
MAM01189c,Cholesterol biosynthesis 1 (Bloch pathway),2.0874830819443145e-06,2.6362715115128587e-06,5.487884295685442e-07,5.487884295685442e-07
MAM02591c,Xenobiotics metabolism,2.318427731054309e-06,2.8672136118599762e-06,5.487858808056674e-07,5.487858808056674e-07
MAM03577g,Blood group biosynthesis;Transport reactions,1.239223278961656e-05,1.1843810937609676e-05,-5.484218520068845e-07,5.484218520068845e-07
MAM03138e,Exchange/demand reactions;Transport reactions,5.616839754979168e-06,6.164935102274194e-06,5.480953472950267e-07,5.480953472950267e-07
MAM01784l,Cholesterol metabolism;Formation and hydrolysis of cholesterol esters;Transport reactions,3.3812004229162296e-06,3.929227268279271e-06,5.480268453630412e-07,5.480268453630412e-07
MAM00973c,Xenobiotics metabolism,4.520218908696125e-06,5.067332478173946e-06,5.471135694778212e-07,5.471135694778212e-07
MAM04021c,Peptide metabolism;Transport reactions,1.6325369616820146e-05,1.5780183610839208e-05,-5.451860059809381e-07,5.451860059809381e-07
MAM02995r,Prostaglandin biosynthesis;Transport reactions,2.297762772095293e-06,2.8423991365293388e-06,5.44636364434046e-07,5.44636364434046e-07
MAM01981m,Glycerolipid metabolism,2.478913387058231e-06,1.934657132508911e-06,-5.442562545493199e-07,5.442562545493199e-07
MAM02456l,Formation and hydrolysis of cholesterol esters;Transport reactions,1.4589242239706833e-05,1.4045501049234124e-05,-5.437411904727089e-07,5.437411904727089e-07
MAM01493r,Formation and hydrolysis of cholesterol esters;Pool reactions,6.120075753692566e-06,6.6636729629213146e-06,5.435972092287486e-07,5.435972092287486e-07
MAM02146c,Steroid metabolism,6.009013699949592e-07,1.1439053041921244e-06,5.430039341971651e-07,5.430039341971651e-07
MAM20051r,Fatty acid metabolism,1.1806601291927992e-06,1.7225784639986999e-06,5.419183348059007e-07,5.419183348059007e-07
MAM02921x,Arginine and proline metabolism,1.997817268558163e-06,2.5396247343168457e-06,5.418074657586827e-07,5.418074657586827e-07
MAM02922x,Arginine and proline metabolism,1.997848520833336e-06,2.5396281218657164e-06,5.417796010323804e-07,5.417796010323804e-07
MAM02927r,Fatty acid metabolism;Sphingolipid metabolism;Transport reactions,6.986048840594464e-06,6.444763803149902e-06,-5.412850374445619e-07,5.412850374445619e-07
