cell_line,panel_size,trial,topology_distortion,proteomics_distortion,delta_distortion
BR:MDA-MB-231,500,2,1.411910846757364,1.409672469902874,-0.0022383768544900207
BR:MDA-MB-231,500,3,1.4121042856028945,1.4101184650598926,-0.0019858205430018927
BR:MDA-MB-231,500,4,1.4095263595949363,1.4099112552021473,0.0003848956072109999
BR:MDA-MB-231,500,5,1.3621651877674568,1.4063885023111802,0.04422331454372341
BR:MDA-MB-231,500,6,1.4121629308536,1.4125461378762267,0.00038320702262684136
BR:MDA-MB-231,500,7,1.4128748890655118,1.4124567150511957,-0.00041817401431609724
BR:MDA-MB-231,500,8,1.4112088909884373,1.4136966590876119,0.0024877680991746143
BR:MDA-MB-231,500,9,1.3935145313103785,1.4134734807639537,0.019958949453575237
BR:MDA-MB-231,500,10,1.4130500321316146,1.4120746360854999,-0.0009753960461147404
BR:HS 578T,50,1,1.277320063445789,1.30568223462017,0.02836217117438089
BR:HS 578T,50,2,1.2991539331308852,1.2970333299777865,-0.002120603153098699
BR:HS 578T,50,3,1.2856513627888422,1.2869534353601029,0.0013020725712606929
BR:HS 578T,50,4,1.2910512792842745,1.3369839974697861,0.04593271818551159
BR:HS 578T,50,5,1.3255811333449377,1.319193148224185,-0.0063879851207526706
BR:HS 578T,50,6,1.2688459283031723,1.2257358700949315,-0.043110058208240876
BR:HS 578T,50,7,1.2011831103720279,1.219419803544018,0.01823669317199017
BR:HS 578T,50,8,1.2317363598816347,1.1774366386887178,-0.05429972119291682
BR:HS 578T,50,9,1.2837096984476346,1.3353210617385678,0.05161136329093319
BR:HS 578T,50,10,1.3575671465324386,1.357547518333844,-1.9628198594690005e-05
BR:HS 578T,100,1,1.3902512822102946,1.389968994981852,-0.0002822872284427014
BR:HS 578T,100,2,1.2788930348791658,1.2632552233543195,-0.015637811524846335
BR:HS 578T,100,3,1.3715584002242365,1.3599372274644115,-0.011621172759824994
BR:HS 578T,100,4,1.3950596845509604,1.3781051259319816,-0.016954558618978766
BR:HS 578T,100,5,1.348255332790238,1.3451599034091344,-0.0030954293811036315
BR:HS 578T,100,6,1.3217014705549042,1.3095224988867749,-0.012178971668129313
BR:HS 578T,100,7,1.410696599473565,1.411231768623902,0.0005351691503370226
BR:HS 578T,100,8,1.3450658503110218,1.3276384193189106,-0.017427430992111193
BR:HS 578T,100,9,1.384569701853824,1.3811479408339429,-0.003421761019881231
BR:HS 578T,100,10,1.3816184115766261,1.385290523375821,0.0036721117991949104
BR:HS 578T,200,1,1.3899619990402325,1.4093774729700705,0.019415473929838
BR:HS 578T,200,2,1.4098185032969255,1.4115786724752484,0.00176016917832289
BR:HS 578T,200,3,,1.4066954680005526,
BR:HS 578T,200,4,1.3925902900077343,1.4092001200269768,0.016609830019242544
BR:HS 578T,200,5,1.398793613370365,1.413060681081465,0.01426706771110009
BR:HS 578T,200,6,1.4001385824831494,1.4003953345499949,0.00025675206684550034
BR:HS 578T,200,7,1.3543524157972366,1.3639606808881513,0.009608265090914614
BR:HS 578T,200,8,1.408900118593278,1.409199284722261,0.00029916612898306383
BR:HS 578T,200,9,1.3920080622337787,1.4104423963048778,0.018434334071099068
BR:HS 578T,200,10,1.3520366982598495,1.3960060846771478,0.043969386417298306
BR:HS 578T,500,1,1.4067569377355615,1.3956082405485624,-0.011148697186999179
BR:HS 578T,500,2,1.3789907069166583,1.4071852419017115,0.0281945349850532
BR:HS 578T,500,3,1.396833433868592,1.3966755420495158,-0.00015789181907610583
BR:HS 578T,500,4,1.3932126377397678,1.371322962285783,-0.02188967545398479
BR:HS 578T,500,5,1.4020762383721384,1.3680923255145157,-0.0339839128576227
BR:HS 578T,500,6,1.4049058880089285,1.4107750918279596,0.00586920381903111
BR:HS 578T,500,7,1.4040686559712134,1.409141531376627,0.005072875405413457
BR:HS 578T,500,8,1.3829916483539815,1.3814993161710203,-0.0014923321829611869
BR:HS 578T,500,9,1.368913332867853,1.3688763291016484,-3.7003766204746213e-05
BR:HS 578T,500,10,1.3495578132343253,1.3480250654000878,-0.0015327478342375134
BR:BT-549,50,1,1.3026229309280164,1.2988532853782906,-0.0037696455497258086
BR:BT-549,50,2,1.258395130622774,1.2773005339797112,0.018905403356937134
BR:BT-549,50,3,1.3305683018281853,1.2834885623482362,-0.047079739479949145
BR:BT-549,50,4,1.3164755492992053,1.3309389204904576,0.014463371191252294
BR:BT-549,50,5,1.2923820999273312,1.3048259040110477,0.012443804083716481
BR:BT-549,50,6,1.2790929456674212,1.3169510166493648,0.0378580709819436
BR:BT-549,50,7,1.2681621973555188,1.3358740302460983,0.06771183289057947
BR:BT-549,50,8,1.3129645487855157,1.312792934571751,-0.00017161421376465924
BR:BT-549,50,9,1.2848659505579185,1.264618855479776,-0.020247095078142596
BR:BT-549,50,10,1.0754822447130876,1.106836890492187,0.03135464577909941
BR:BT-549,100,1,1.3402100032894766,1.3345512561522495,-0.005658747137227138
BR:BT-549,100,2,1.2989351621131056,1.2969406336984675,-0.001994528414638097
BR:BT-549,100,3,1.3720311090744515,1.3740529476920305,0.002021838617578986
BR:BT-549,100,4,1.3285654773540228,1.3334962946022684,0.0049308172482456225
BR:BT-549,100,5,1.4126493849447403,1.4132005879839327,0.0005512030391923162
BR:BT-549,100,6,1.3405665344271636,1.386443377040436,0.04587684261327252
BR:BT-549,100,7,1.407998380899142,1.404401827856247,-0.0035965530428951897
BR:BT-549,100,8,1.392568077402114,1.3550362417786763,-0.03753183562343776
BR:BT-549,100,9,1.3939999227275623,1.399708963589646,0.005709040862083681
BR:BT-549,100,10,1.3337419410327744,1.3123761864551566,-0.0213657545776178
BR:BT-549,200,1,1.4075889856757677,1.4029634054786655,-0.0046255801971022414
BR:BT-549,200,2,1.4093108692652154,1.3842052470569879,-0.02510562220822754
BR:BT-549,200,3,1.3930884593580202,1.3532633941430496,-0.039825065214970534
BR:BT-549,200,4,1.3906194501059497,1.3694787723916626,-0.02114067771428707
BR:BT-549,200,5,1.4054875419250175,1.4121440018959204,0.006656459970902917
BR:BT-549,200,6,1.3974380536115936,1.389089913402433,-0.008348140209160526
BR:BT-549,200,7,1.4112450774323309,1.4110206567539543,-0.00022442067837658009
BR:BT-549,200,8,1.395042102410813,1.398507828147744,0.003465725736931047
BR:BT-549,200,9,1.4036261300188253,1.4062287785391343,0.0026026485203090033
BR:BT-549,200,10,1.406354293255107,1.3709318065065745,-0.035422486748532434
BR:BT-549,500,1,1.4128141024327645,1.4139595279051238,0.001145425472359296
BR:BT-549,500,2,1.411347494862437,1.4095322839289381,-0.0018152109334987898
BR:BT-549,500,3,1.4122543835246744,1.4113997723089995,-0.000854611215674872
BR:BT-549,500,4,1.4115684962776742,1.4115792359329526,1.0739655278424465e-05
BR:BT-549,500,5,1.4042640589642459,1.4133175863724738,0.009053527408227957
BR:BT-549,500,6,1.3929152519764159,1.399877379332624,0.006962127356208159
BR:BT-549,500,7,1.3415945734560637,1.4133508527644076,0.07175627930834394
BR:BT-549,500,8,1.4019359032710828,1.4138888920628587,0.011952988791775976
BR:BT-549,500,9,1.3980699817682536,1.4007634442120833,0.0026934624438297305
BR:BT-549,500,10,1.4073309610868792,1.409873688823627,0.0025427277367477963
BR:T-47D,50,1,1.3046853078358722,1.332849340571181,0.028164032735308764
BR:T-47D,50,2,1.248258538142324,1.2886225747060995,0.04036403656377563
BR:T-47D,50,3,1.20380046060971,1.1841140060634892,-0.019686454546220755
BR:T-47D,50,4,1.2878782889786775,1.2798679584979993,-0.00801033048067823
BR:T-47D,50,5,1.2780085625828106,1.2696602728459143,-0.008348289736896275
BR:T-47D,50,6,1.209240541792908,1.2644726640082558,0.05523212221534779
BR:T-47D,50,7,1.2908721885130827,1.2852423255370704,-0.005629862976012312
BR:T-47D,50,8,1.2729745246135828,1.2834548004629496,0.010480275849366727
BR:T-47D,50,9,1.3131823667437283,1.3619854111322085,0.048803044388480155
BR:T-47D,50,10,1.298952391620849,1.2968285890300801,-0.0021238025907688307
BR:T-47D,100,1,1.3917706229837072,1.3718953278275967,-0.01987529515611053
BR:T-47D,100,2,1.3929396928018227,1.4100322241412284,0.017092531339405692
BR:T-47D,100,3,1.3895166606020153,1.3729004047326625,-0.01661625586935278
BR:T-47D,100,4,1.3642688031873635,1.3456182563731294,-0.01865054681423417
BR:T-47D,100,5,1.3679430774522494,1.3770524859783566,0.009109408526107199
BR:T-47D,100,6,1.403036065232425,1.4031875115906762,0.00015144635825126151
BR:T-47D,100,7,1.3852174702306748,1.4000605384651756,0.014843068234500878
BR:T-47D,100,8,1.3983048064091286,1.3968216379265797,-0.0014831684825489244
BR:T-47D,100,9,1.3933862058887472,1.392169322927801,-0.0012168829609462417
BR:T-47D,100,10,1.289900614038903,1.3365241255897562,0.04662351155085309
BR:T-47D,200,1,1.4010338283050692,1.4015267541677967,0.0004929258627275335
BR:T-47D,200,2,1.3957247628524612,1.4079466454122354,0.012221882559774189
BR:T-47D,200,3,1.4037384355952862,1.398550156158555,-0.00518827943673128
BR:T-47D,200,4,1.37878399733826,1.404509024425559,0.025725027087298846
BR:T-47D,200,5,1.3871669358392742,1.3948974636638813,0.007730527824607147
BR:T-47D,200,6,1.4008888707639773,1.4008187304636146,-7.014030036267549e-05
BR:T-47D,200,7,1.4061284047179732,1.3987358180862788,-0.007392586631694398
BR:T-47D,200,8,1.405728450935755,1.402957695862351,-0.002770755073403963
BR:T-47D,200,9,1.3888616992351674,1.3935508445246307,0.004689145289463292
BR:T-47D,200,10,1.3753825774879607,1.3883978984070704,0.01301532091910973
BR:T-47D,500,1,1.41375049492876,1.4140927633786742,0.0003422684499141404
BR:T-47D,500,2,1.413355773276371,1.4129938628113334,-0.00036191046503764035
BR:T-47D,500,3,1.408255257413123,1.4077065442731054,-0.0005487131400176981
BR:T-47D,500,4,1.4120807881804853,1.4135664873338512,0.001485699153365827
BR:T-47D,500,5,1.3994214138920142,1.3998567589500213,0.0004353450580070195
BR:T-47D,500,6,1.411494837315589,1.410567448664646,-0.0009273886509428841
BR:T-47D,500,7,1.4087548900679534,1.409662574438472,0.000907684370518691
BR:T-47D,500,8,1.4022304988756171,1.412508245207537,0.010277746331919912
BR:T-47D,500,9,1.400669108600825,1.4026638528697644,0.001994744268939419
BR:T-47D,500,10,1.4093921991151346,1.4094537607883255,6.15616731909352e-05
CNS:SF-268,50,1,1.2602423372542728,1.259126434856946,-0.00111590239732684
CNS:SF-268,50,2,1.2551443521737686,1.3301107193124484,0.07496636713867977
CNS:SF-268,50,3,1.2110596885561138,1.210405119229353,-0.0006545693267607788
CNS:SF-268,50,4,1.3614421937573256,1.3753287128728118,0.013886519115486218
CNS:SF-268,50,5,1.1238372173691007,1.1343144306274204,0.01047721325831974
CNS:SF-268,50,6,1.3047942548001468,1.310686487029638,0.005892232229491201
CNS:SF-268,50,7,1.2389525038538896,1.2336731048248253,-0.005279399029064269
CNS:SF-268,50,8,1.2431858328419176,1.3128795073847734,0.0696936745428558
CNS:SF-268,50,9,1.3231806148106748,1.3439083584685634,0.020727743657888542
CNS:SF-268,50,10,1.207689919554154,1.2034644954069167,-0.004225424147237256
CNS:SF-268,100,1,1.4119137217096145,1.41192219353105,8.471821435485083e-06
CNS:SF-268,100,2,1.4034863990378794,1.4010504072847803,-0.002435991753099165
CNS:SF-268,100,3,1.296650293688192,1.2932358660350245,-0.0034144276531675732
CNS:SF-268,100,4,1.393214622796889,1.3901825178262401,-0.0030321049706487635
CNS:SF-268,100,5,1.3504786259458996,1.356330928963228,0.005852303017328309
CNS:SF-268,100,6,1.4122983958730362,1.4124808839449012,0.00018248807186505012
CNS:SF-268,100,7,1.3848644015166247,1.4050188902821301,0.020154488765505407
CNS:SF-268,100,8,1.3654680097727192,1.3332364663088898,-0.03223154346382939
CNS:SF-268,100,9,1.3483143804103201,1.3438044074981461,-0.004509972912174032
CNS:SF-268,100,10,1.3517519138027148,1.34181314904336,-0.009938764759354735
CNS:SF-268,200,1,1.408752570411022,1.408163627949631,-0.0005889424613909622
CNS:SF-268,200,2,1.410901404464526,1.3955823475339217,-0.015319056930604313
CNS:SF-268,200,3,1.3967479787164045,1.4048709415946323,0.00812296287822778
CNS:SF-268,200,4,1.4056124986479024,1.379382021485704,-0.026230477162198396
CNS:SF-268,200,5,1.3947897633301718,1.4106506698232828,0.015860906493111004
CNS:SF-268,200,6,1.3962879438406248,1.4077095333114962,0.011421589470871352
CNS:SF-268,200,7,,1.376229020883076,
CNS:SF-268,200,8,1.3905736427248068,1.3647965844294365,-0.025777058295370248
CNS:SF-268,200,9,1.4121880769108515,1.4068192846810292,-0.005368792229822228
CNS:SF-268,200,10,1.4067009159644432,1.4068453363098212,0.00014442034537798243
CNS:SF-268,500,1,1.40846104230989,1.4097645576320967,0.0013035153222067386
CNS:SF-268,500,2,1.4125478314703053,1.4081265918107344,-0.004421239659570864
