cell_line,panel_size,trial,panel_type,distortion,geometry_aware_distortion,random_mean_distortion,advantage,n_valid_random_trials,nontrivial_full_rank
LE:K-562,200,-1,summary,,0.9632270806430022,1.3968404053266326,0.43361332468363034,10.0,22.0
LE:K-562,500,-1,summary,,0.9343106634857146,1.3953175163709723,0.4610068528852578,10.0,22.0
LE:MOLT-4,50,-1,summary,,1.1091826031989642,1.2616396148449054,0.15245701164594117,10.0,15.0
LE:MOLT-4,100,-1,summary,,0.9856161990964649,1.3850315612774797,0.3994153621810148,10.0,15.0
LE:MOLT-4,200,-1,summary,,0.9634524646707903,1.3925971273301874,0.4291446626593971,10.0,15.0
LE:MOLT-4,500,-1,summary,,0.8354414369879929,1.3966967837384971,0.5612553467505043,10.0,15.0
LE:RPMI-8226,50,-1,summary,,1.1099892437413468,1.2956345294999605,0.18564528575861372,10.0,22.0
LE:RPMI-8226,100,-1,summary,,0.990478730537233,1.3806313707712825,0.3901526402340495,10.0,22.0
LE:RPMI-8226,200,-1,summary,,0.9632403771828144,1.3829833603230488,0.4197429831402344,10.0,22.0
LE:RPMI-8226,500,-1,summary,,0.8377586178672515,1.399329633048498,0.5615710151812464,10.0,22.0
LE:SR,50,-1,summary,,1.1094315301172268,1.2899291689989743,0.1804976388817474,10.0,22.0
LE:SR,100,-1,summary,,0.9904655399287003,1.3741995918862817,0.38373405195758137,10.0,22.0
LE:SR,200,-1,summary,,0.963241907387322,1.3884933684247076,0.42525146103738565,10.0,22.0
LE:SR,500,-1,summary,,0.835536016263071,1.383499114123626,0.547963097860555,10.0,22.0
ME:LOX IMVI,50,-1,summary,,1.1095221389253718,1.2771320204047887,0.1676098814794169,10.0,22.0
ME:LOX IMVI,100,-1,summary,,0.9893724357746375,1.3584500986196373,0.36907766284499977,10.0,22.0
ME:LOX IMVI,200,-1,summary,,0.9636047920694077,1.3892170223589861,0.4256122302895784,10.0,22.0
ME:LOX IMVI,500,-1,summary,,0.8376291019927081,1.3917000361374157,0.5540709341447075,10.0,22.0
ME:MALME-3M,50,-1,summary,,1.1098440305928714,1.3269803679127572,0.2171363373198858,10.0,22.0
ME:MALME-3M,100,-1,summary,,0.9883792658215512,1.3687916280822787,0.3804123622607275,10.0,22.0
