cell_line,panel_size,trial,panel_type,distortion,geometry_aware_distortion,random_mean_distortion,advantage,n_valid_random_trials,nontrivial_full_rank
BR:HS 578T,500,6,random,1.4123354464836888,,,,,
BR:HS 578T,500,7,random,1.4125418297203873,,,,,
BR:HS 578T,500,8,random,1.4139223330854955,,,,,
BR:HS 578T,500,9,random,1.3901151953822648,,,,,
BR:HS 578T,500,10,random,1.4119357552684677,,,,,
BR:HS 578T,500,0,geometry_aware,0.8370558950541942,,,,,
BR:HS 578T,500,-1,summary,,0.8370558950541942,1.4074790611037515,0.5704231660495573,10.0,15.0
BR:BT-549,50,1,random,1.3053057762413545,,,,,
BR:BT-549,50,2,random,1.2964232242180052,,,,,
BR:BT-549,50,3,random,1.2288652781706453,,,,,
BR:BT-549,50,4,random,1.351220792967848,,,,,
BR:BT-549,50,5,random,1.2875230051634519,,,,,
BR:BT-549,50,6,random,1.2270636838331137,,,,,
BR:BT-549,50,7,random,1.280087206608435,,,,,
BR:BT-549,50,8,random,1.1511327386842511,,,,,
BR:BT-549,50,9,random,1.3330501071934113,,,,,
BR:BT-549,50,10,random,1.3571547140663263,,,,,
BR:BT-549,50,0,geometry_aware,1.1103658873731805,,,,,
BR:BT-549,50,-1,summary,,1.1103658873731805,1.2817826527146843,0.17141676534150374,10.0,22.0
BR:BT-549,100,1,random,1.389759358130844,,,,,
BR:BT-549,100,2,random,1.268869572255944,,,,,
BR:BT-549,100,3,random,1.360201549450675,,,,,
BR:BT-549,100,4,random,1.370805374168752,,,,,
BR:BT-549,100,5,random,1.3297737240321281,,,,,
BR:BT-549,100,6,random,1.3441325593471827,,,,,
BR:BT-549,100,7,random,1.4107767553563826,,,,,
BR:BT-549,100,8,random,1.3342778952385637,,,,,
BR:BT-549,100,9,random,1.3765750452290755,,,,,
BR:BT-549,100,10,random,1.405061302077742,,,,,
BR:BT-549,100,0,geometry_aware,0.9840837642054784,,,,,
BR:BT-549,100,-1,summary,,0.9840837642054784,1.359023313528729,0.3749395493232507,10.0,22.0
BR:BT-549,200,1,random,1.4097001793533357,,,,,
BR:BT-549,200,2,random,1.4118980306039257,,,,,
BR:BT-549,200,3,random,1.4117752825589676,,,,,
BR:BT-549,200,4,random,1.4063099033236326,,,,,
BR:BT-549,200,5,random,1.4118188245982313,,,,,
BR:BT-549,200,6,random,1.401009101931551,,,,,
BR:BT-549,200,7,random,1.3413762287460973,,,,,
BR:BT-549,200,8,random,1.4097655996034129,,,,,
BR:BT-549,200,9,random,1.3653564617218639,,,,,
BR:BT-549,200,10,random,1.3990272568742157,,,,,
BR:BT-549,200,0,geometry_aware,0.9627417699620318,,,,,
BR:BT-549,200,-1,summary,,0.9627417699620318,1.3968036869315235,0.4340619169694917,10.0,22.0
BR:BT-549,500,1,random,1.413422683876315,,,,,
BR:BT-549,500,2,random,1.407778373039037,,,,,
BR:BT-549,500,3,random,1.394385511431862,,,,,
BR:BT-549,500,4,random,1.4095314628575673,,,,,
BR:BT-549,500,5,random,1.3732689192462393,,,,,
BR:BT-549,500,6,random,1.4107408770725218,,,,,
BR:BT-549,500,7,random,1.4091312493305037,,,,,
BR:BT-549,500,8,random,1.3819341105405036,,,,,
BR:BT-549,500,9,random,1.3663829104426117,,,,,
BR:BT-549,500,10,random,1.3475944702628666,,,,,
BR:BT-549,500,0,geometry_aware,0.833982051237759,,,,,
BR:BT-549,500,-1,summary,,0.833982051237759,1.3914170568100028,0.5574350055722438,10.0,22.0
BR:T-47D,50,1,random,1.2973958845207914,,,,,
BR:T-47D,50,2,random,1.2756555143968633,,,,,
BR:T-47D,50,3,random,1.305276417210666,,,,,
BR:T-47D,50,4,random,1.335358641485992,,,,,
BR:T-47D,50,5,random,1.3110409215374146,,,,,
BR:T-47D,50,6,random,1.3223811134177663,,,,,
BR:T-47D,50,7,random,1.3462324646219692,,,,,
BR:T-47D,50,8,random,1.3109673312888814,,,,,
BR:T-47D,50,9,random,1.278421801671237,,,,,
BR:T-47D,50,10,random,1.1461473317163435,,,,,
BR:T-47D,50,0,geometry_aware,1.1087592296854578,,,,,
BR:T-47D,50,-1,summary,,1.1087592296854578,1.2928877421867928,0.184128512501335,10.0,22.0
BR:T-47D,100,1,random,1.3371826551473966,,,,,
BR:T-47D,100,2,random,1.2727924252061333,,,,,
BR:T-47D,100,3,random,1.3731883645898164,,,,,
BR:T-47D,100,4,random,1.3285451145966645,,,,,
BR:T-47D,100,5,random,1.4131548306314157,,,,,
BR:T-47D,100,6,random,1.3890545828407987,,,,,
BR:T-47D,100,7,random,1.402714926317809,,,,,
BR:T-47D,100,8,random,1.3486851423899915,,,,,
BR:T-47D,100,9,random,1.3997319403507202,,,,,
BR:T-47D,100,10,random,1.3119319038387651,,,,,
BR:T-47D,100,0,geometry_aware,0.991297757293404,,,,,
BR:T-47D,100,-1,summary,,0.991297757293404,1.3576981885909511,0.3664004312975472,10.0,22.0
BR:T-47D,200,1,random,1.4071895909293852,,,,,
BR:T-47D,200,2,random,1.4071830324847383,,,,,
BR:T-47D,200,3,random,1.3538988077838112,,,,,
BR:T-47D,200,4,random,1.358581126052974,,,,,
BR:T-47D,200,5,random,1.4124710568053978,,,,,
BR:T-47D,200,6,random,1.4058391235130598,,,,,
BR:T-47D,200,7,random,1.4119850296674838,,,,,
BR:T-47D,200,8,random,1.3987378681143159,,,,,
BR:T-47D,200,9,random,1.405945154123613,,,,,
BR:T-47D,200,10,random,1.3537970284213043,,,,,
BR:T-47D,200,0,geometry_aware,0.9634901662166169,,,,,
BR:T-47D,200,-1,summary,,0.9634901662166169,1.3915627817896081,0.42807261557299126,10.0,22.0
BR:T-47D,500,1,random,1.4139078085884378,,,,,
BR:T-47D,500,2,random,1.4111240952632134,,,,,
BR:T-47D,500,3,random,1.4126377264818726,,,,,
BR:T-47D,500,4,random,1.41152500341156,,,,,
BR:T-47D,500,5,random,1.4116530522795816,,,,,
BR:T-47D,500,6,random,1.4040012906514745,,,,,
BR:T-47D,500,7,random,1.413197843953827,,,,,
BR:T-47D,500,8,random,1.4139249685652657,,,,,
BR:T-47D,500,9,random,1.3926348198511087,,,,,
BR:T-47D,500,10,random,1.4098979467211554,,,,,
BR:T-47D,500,0,geometry_aware,0.8383597848155517,,,,,
BR:T-47D,500,-1,summary,,0.8383597848155517,1.4094504555767498,0.571090670761198,10.0,22.0
CNS:SF-268,50,1,random,1.3236689861937088,,,,,
CNS:SF-268,50,2,random,1.1888374079738313,,,,,
CNS:SF-268,50,3,random,1.1151005782696073,,,,,
CNS:SF-268,50,4,random,1.2246314673954226,,,,,
CNS:SF-268,50,5,random,1.2703509794726786,,,,,
CNS:SF-268,50,6,random,1.2623130129751117,,,,,
CNS:SF-268,50,7,random,1.3107641689411809,,,,,
CNS:SF-268,50,8,random,1.219656814866953,,,,,
CNS:SF-268,50,9,random,1.2905753986873472,,,,,
CNS:SF-268,50,10,random,1.2965544863063938,,,,,
