,BR:MCF7,BR:MDA-MB-231,BR:HS 578T,BR:BT-549,BR:T-47D,CNS:SF-268,CNS:SF-295,CNS:SNB-19,CNS:SNB-75,CNS:U251,CO:COLO 205,CO:HCC-2998,CO:HCT-116,CO:HCT-15,CO:HT29,CO:KM12,CO:SW-620,LE:CCRF-CEM,LE:HL-60(TB),LE:K-562,LE:MOLT-4,LE:RPMI-8226,LE:SR,ME:LOX IMVI,ME:MALME-3M,ME:M14,ME:SK-MEL-2,ME:SK-MEL-28,ME:SK-MEL-5,ME:UACC-257,ME:UACC-62,ME:MDA-MB-435,LC:A549/ATCC,LC:EKVX,LC:HOP-62,LC:HOP-92,LC:NCI-H226,LC:NCI-H322M,LC:NCI-H460,LC:NCI-H522,OV:IGROV1,OV:OVCAR-3,OV:OVCAR-4,OV:OVCAR-5,OV:OVCAR-8,OV:SK-OV-3,OV:NCI/ADR-RES,PR:PC-3,PR:DU-145,RE:786-0,RE:A498,RE:ACHN,RE:CAKI-1,RE:RXF 393,RE:SN12C,RE:TK-10,RE:UO-31
MAR04379,1.13863252929669,1.14905417427968,1.13658982408112,1.13696172226137,1.14648418106784,1.13638186900594,1.13886113863359,1.15461221181881,1.16201565927283,1.13841212463346,1.16345280138042,1.1673159522191,1.14277156526702,1.17231778837182,1.15439803417113,1.12942106280786,1.12709359583703,1.16839115415533,1.17220975287243,1.14610517968642,1.13793793771012,1.16713370673196,1.15155736866324,1.14433399579635,1.13267326710244,1.13069484575203,1.13129124374445,1.13480367893684,1.13690826927187,1.11502692097601,1.12695273855508,1.1325873846653,1.15743822467828,1.15695245650349,1.15116395221278,1.17713830505285,1.16119190457415,1.11968269685281,1.12125704098799,1.14237456509839,1.12498766871363,1.15671867113101,1.14908509126106,1.15853415631178,1.17584190337249,1.13583671829271,1.15335590496846,1.15069574634349,1.14105136413703,1.16118811858194,1.27222441697506,1.16901267821324,1.15990833891404,1.16681713287856,1.17412636403842,1.15639052640024,1.16336485790675
MAR04301,1.13863252929669,1.14905417427968,1.13658982408112,1.13696172226137,1.14648418106784,1.13638186900594,1.13886113863359,1.15461221181881,1.16201565927283,1.13841212463346,1.16345280138042,1.1673159522191,1.14277156526702,1.17231778837182,1.15439803417113,1.12942106280786,1.12709359583703,1.16839115415533,1.17220975287243,1.14610517968642,1.13793793771012,1.16713370673196,1.15155736866324,1.14433399579635,1.13267326710244,1.13069484575203,1.13129124374445,1.13480367893684,1.13690826927187,1.11502692097601,1.12695273855508,1.1325873846653,1.15743822467828,1.15695245650349,1.15116395221278,1.17713830505285,1.16119190457415,1.11968269685281,1.12125704098799,1.14237456509839,1.12498766871363,1.15671867113101,1.14908509126106,1.15853415631178,1.17584190337249,1.13583671829271,1.15335590496846,1.15069574634349,1.14105136413703,1.16118811858194,1.27222441697506,1.16901267821324,1.15990833891404,1.16681713287856,1.17412636403842,1.15639052640024,1.16336485790675
MAR04355,1.20313585368599,0.946419728444801,1.06448664546268,0.959130781307988,1.24268570837198,0.824308062409886,1.25814185789048,1.02263353766771,0.910459746855961,1.25002509259259,1.26622917692757,1.21426430901723,0.940295526968791,1.07447548949498,0.97611793592607,1.24382533071649,0.935566502278706,0.940555893499583,1.29891858777822,1.26196124925624,0.911311311128867,1.24119295411505,1.26758881455516,0.991451292049413,1.04059405919988,1.23257900483848,1.19452378583778,1.18326574993902,1.21842467074869,0.898286832912719,0.995847340123423,1.26507574982373,1.19556227913352,0.963795504085181,0.931161954055118,1.09110823437397,1.19698972822191,0.94615765970329,0.812333234348783,0.971485345062795,0.985695965081248,1.19476597862209,0.821917808054811,0.959370643107076,1.0490018146705,0.814425839529491,1.00438159709134,1.2379354581589,1.27608346683867,1.19900990075267,1.12149348061606,1.2337027051545,1.19378300265143,0.824556123818928,0.950635826384172,1.19896072725113,1.17371826756123
MAR04358,1.23370050585815,1.05258987797314,1.07951660382258,0.851275916895678,1.29743131978629,0.856397913987886,1.34525474498596,1.01881098460541,0.983537442083209,1.3708722269656,1.38758202899796,1.2426331033378,1.03075079851622,1.20731828553101,1.14083538061114,1.35506816807843,0.841379310179039,0.866301480854879,1.33156498646571,1.23092131252849,0.854854854683713,1.36869495569081,1.36590705515655,1.12107355842523,1.20732673243419,1.37633336628924,1.27627302250049,1.26238749851402,1.29345904512012,0.836025452601855,1.1142970138196,1.31616991755299,1.31477559227135,1.08334991026788,0.853232090947501,1.20681071368977,1.31882436665945,1.06712939988753,1.01749184681935,0.848484848316247,1.06658774764396,1.2972320077912,0.85391460836838,1.11511651043316,1.17866505320051,1.01674427801115,0.850428201384101,1.28648968690684,1.35152487934359,1.32851485122208,1.20683524274855,1.32354996479514,1.32589419122728,1.03922158671096,0.855111644967435,1.33906265587308,1.26869089073794
MAR04360,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
MAR04363,1.17534980625675,1.00544716232436,1.0953589923641,1.03967304604472,1.22344540291115,0.973325310675225,1.2887112884538,1.03571069288086,0.975707689023147,1.29619592466201,1.33003533542049,1.22784936545243,0.977635782552389,1.16018693424278,1.04766584745992,1.2809721396402,1.0600985219586,1.02617163704074,1.34299122600633,1.24396994835034,0.990190189991954,1.28763010382553,1.24808438625772,1.09423459222779,1.07702970275702,1.21682783347287,1.23116320275167,1.25229947557071,1.22569239810927,1.03847283386422,1.04330630788149,1.27062085329822,1.21432173450039,1.03600556971633,1.06703966408891,1.13412326971341,1.23949964380362,1.05384233990008,0.93151497165105,1.04143070024015,0.944066291616047,1.29562153974925,0.958904109397279,1.0535749848529,1.07118370617641,0.956306350746793,1.02549292949104,1.25412020107488,1.28691813778352,1.23821782153699,0.988344527659355,1.21713087726522,1.26611537286717,1.07673788723508,0.990487633725746,1.28090336738665,1.16674962644764
MAR04365,1.15252555301131,1.07497276397445,1.06672082846213,0.994816586723521,1.23752851309382,0.976935418977751,1.15244755221729,1.00875163444145,1.01806866070707,1.2048579742638,1.1884906610422,1.15652781916761,0.97503993590754,1.18245997788954,1.09641277619727,1.18652440205759,1.06285714264771,1.05132886974004,1.24648030988646,1.17299327774358,0.998998998798999,1.18935148094689,1.26022489774898,1.13180914490421,1.12792079185586,1.17316319386439,1.15729341058657,1.12550687347928,1.16087212705542,0.98678414077596,1.07197943423532,1.18110704006711,1.17095310112538,1.02625820548513,1.00409631311738,1.1606093794363,1.14756432398097,0.868815071716645,1.01096946318589,1.01182314932701,0.977606786824976,1.14544539483735,0.938706129199339,1.0832503483204,1.18612623488886,0.989002278611116,0.972913762004996,1.1735912363222,1.21869983924183,1.21227722748272,1.1993283284869,1.2087451330321,1.23562817550351,0.878924666289713,0.877340542529821,1.19136604353125,1.19303135864748
MAR04368,1.11223578423891,1.19322571037076,1.09840560554516,1.13656299817852,1.2032133291276,1.16506217385378,1.17422577399116,1.1825772052746,1.18088737177657,1.24861989335569,1.21595153938093,1.14394166394088,1.17312300296064,1.14387988442997,1.1770024567711,1.18454850796591,1.18049261060483,1.24974639861032,1.25321362961575,1.16587584002256,1.23063063038426,1.24179343449924,1.22718678451046,1.18886679896842,1.12891089086556,1.19230385780235,1.2293903277397,1.1488477893089,1.19996071475153,1.16886930960962,1.18647419395166,1.24705416353163,1.15380736234921,1.16570519173151,1.14137276428387,1.19386637435152,1.09854571319057,1.07764005928059,1.19063148508931,1.15409836042641,1.15517411440166,1.13276295900699,1.12428757101804,1.10695080639176,1.14297237323191,1.12216387573127,1.11113324016906,1.25589657529737,1.13463081839193,1.18099009877604,1.1904385615981,1.11250873492812,1.19238816355636,1.23141739367411,1.14228497023285,1.14719696189723,1.1253359878297
MAR04370,0.921107472279228,0.946815885719161,0.966791916123328,0.96630781479938,0.949915699504132,0.915563577834825,0.937462537275232,0.921235288015042,0.988355751658632,0.939676803986816,0.943563856447539,0.900809109799059,0.968250798528704,0.974246793084569,0.949975429788703,0.989132582298136,0.965911329858934,0.991073239807045,0.977759640690112,0.950771055565289,1.00840840820652,0.965572457773104,0.971638968858267,0.886282305986823,0.952871286940026,0.968796729943416,0.934108145191745,0.948274156671294,0.730111962142975,0.945472344406173,0.93850108741576,0.948608772957994,0.928693897946809,0.924806047160373,0.92037166531714,0.933585581811493,0.936235126424034,0.94833911731317,0.884079454316814,0.919423745470557,0.950577093627192,0.895420231324526,0.929307069107228,0.929296952613165,0.946158499506723,0.93549985119677,0.740290778581898,0.932991216632194,0.938603531111837,0.736039603814646,0.935401027077163,0.742138364631698,0.948291321919241,0.974621325915414,0.905577250244202,0.902568202078032,0.740069686263799
MAR04371,1.15252555301131,1.07497276397445,1.06672082846213,0.994816586723521,1.23752851309382,0.976935418977751,1.15244755221729,1.00875163444145,1.01806866070707,1.2048579742638,1.1884906610422,1.15652781916761,0.97503993590754,1.18245997788954,1.09641277619727,1.18652440205759,1.06285714264771,1.05132886974004,1.24648030988646,1.17299327774358,0.998998998798999,1.18935148094689,1.26022489774898,1.13180914490421,1.12792079185586,1.17316319386439,1.15729341058657,1.12550687347928,1.16087212705542,0.98678414077596,1.07197943423532,1.18110704006711,1.17095310112538,1.02625820548513,1.00409631311738,1.1606093794363,1.14756432398097,0.868815071716645,1.01096946318589,1.01182314932701,0.977606786824976,1.14544539483735,0.938706129199339,1.0832503483204,1.18612623488886,0.989002278611116,0.972913762004996,1.1735912363222,1.21869983924183,1.21227722748272,1.1993283284869,1.2087451330321,1.23562817550351,0.878924666289713,0.877340542529821,1.19136604353125,1.19303135864748
